--- PHIÊN LÀM VIỆC: 20260415_130705 ---
Timestamp,Camera_ID,Status,Confidence
2026-04-15 13:08:11,Cam_4,DEFECT,0.75
2026-04-15 13:08:12,Cam_3,DEFECT,0.81
2026-04-15 13:08:12,Cam_1,DEFECT,0.52
2026-04-15 13:08:12,Cam_2,DEFECT,0.77
2026-04-15 13:08:14,Cam_3,DEFECT,0.93
2026-04-15 13:08:14,Cam_1,DEFECT,0.47
2026-04-15 13:08:14,Cam_2,DEFECT,0.72
2026-04-15 13:08:15,Cam_4,DEFECT,0.75
2026-04-15 13:08:16,Cam_3,DEFECT,0.91
2026-04-15 13:08:16,Cam_1,DEFECT,0.43
2026-04-15 13:08:16,Cam_2,DEFECT,0.63
2026-04-15 13:08:17,Cam_4,DEFECT,0.73
2026-04-15 13:08:18,Cam_3,DEFECT,0.43
2026-04-15 13:08:18,Cam_1,DEFECT,0.59
2026-04-15 13:08:18,Cam_2,DEFECT,0.68
2026-04-15 13:08:19,Cam_4,DEFECT,0.93
2026-04-15 13:08:20,Cam_3,DEFECT,0.73
2026-04-15 13:08:20,Cam_1,DEFECT,0.68
2026-04-15 13:08:20,Cam_2,DEFECT,0.69
2026-04-15 13:08:22,Cam_4,DEFECT,0.73
2026-04-15 13:08:22,Cam_3,DEFECT,0.91
2026-04-15 13:08:22,Cam_1,DEFECT,0.52
2026-04-15 13:08:23,Cam_2,DEFECT,0.63
2026-04-15 13:08:24,Cam_4,DEFECT,0.73
2026-04-15 13:08:24,Cam_3,DEFECT,0.34
2026-04-15 13:08:24,Cam_1,DEFECT,0.45
2026-04-15 13:08:25,Cam_2,DEFECT,0.66
2026-04-15 13:08:26,Cam_4,DEFECT,0.93
2026-04-15 13:08:26,Cam_3,DEFECT,0.86
2026-04-15 13:08:26,Cam_1,DEFECT,0.59
2026-04-15 13:08:27,Cam_2,DEFECT,0.67
2026-04-15 13:08:28,Cam_4,DEFECT,0.75
2026-04-15 13:08:28,Cam_3,DEFECT,0.78
2026-04-15 13:08:28,Cam_1,DEFECT,0.65
2026-04-15 13:08:29,Cam_2,DEFECT,0.65
2026-04-15 13:08:30,Cam_3,DEFECT,0.79
2026-04-15 13:08:30,Cam_1,DEFECT,0.45
2026-04-15 13:08:30,Cam_4,DEFECT,0.75
2026-04-15 13:08:31,Cam_2,DEFECT,0.68
2026-04-15 13:08:32,Cam_3,DEFECT,0.85
2026-04-15 13:08:32,Cam_1,DEFECT,0.47
2026-04-15 13:08:33,Cam_2,DEFECT,0.51
2026-04-15 13:08:34,Cam_1,DEFECT,0.56
2026-04-15 13:08:35,Cam_4,DEFECT,0.75
2026-04-15 13:08:35,Cam_3,DEFECT,0.72
2026-04-15 13:08:35,Cam_2,DEFECT,0.69
2026-04-15 13:08:36,Cam_1,DEFECT,0.58
2026-04-15 13:08:37,Cam_3,DEFECT,0.91
2026-04-15 13:08:37,Cam_2,DEFECT,0.57
2026-04-15 13:08:38,Cam_4,DEFECT,0.75
2026-04-15 13:08:38,Cam_1,DEFECT,0.38
2026-04-15 13:08:39,Cam_2,DEFECT,0.51
2026-04-15 13:08:40,Cam_1,DEFECT,0.38
2026-04-15 13:08:41,Cam_2,DEFECT,0.51
2026-04-15 13:08:42,Cam_1,DEFECT,0.38
2026-04-15 13:08:43,Cam_2,DEFECT,0.51
2026-04-15 13:08:44,Cam_3,DEFECT,0.72
2026-04-15 13:08:44,Cam_1,DEFECT,0.68
2026-04-15 13:08:45,Cam_4,DEFECT,0.75
2026-04-15 13:08:45,Cam_2,DEFECT,0.77
2026-04-15 13:08:46,Cam_3,DEFECT,0.91
2026-04-15 13:08:47,Cam_1,DEFECT,0.65
2026-04-15 13:08:47,Cam_2,DEFECT,0.66
2026-04-15 13:08:48,Cam_3,DEFECT,0.43
2026-04-15 13:08:49,Cam_1,DEFECT,0.65
2026-04-15 13:08:49,Cam_2,DEFECT,0.70
2026-04-15 13:08:49,Cam_4,DEFECT,0.93
2026-04-15 13:08:50,Cam_3,DEFECT,0.61
2026-04-15 13:08:51,Cam_1,DEFECT,0.75
2026-04-15 13:08:51,Cam_2,DEFECT,0.63
2026-04-15 13:08:52,Cam_3,DEFECT,0.40
2026-04-15 13:08:53,Cam_1,DEFECT,0.59
2026-04-15 13:08:53,Cam_4,DEFECT,0.75
2026-04-15 13:08:53,Cam_2,DEFECT,0.57
